"Software Engineer, Simulation and Visualization",Developer - Big Data,Data Scientist x2,Data Scientist x2,Data Scientist x2,Intermediate Data Scientist,Python Developer,Senior Data Scientist / Mathematician (Machine Learning/Python),Data Scientist x2,Python Developer,Data Scientist,Data Engineer,Lead Programmer (Python),Senior Software Engineer (Python),Senior Software Engineer - Python,Data Engineer,Senior Software Engineer / Lead Developer (Python),Senior Software Engineer-TAURANGA,Data Engineer,Graduate data scientist,"Software Engineer, Simulation and Visualization",Data Engineer
1d ago,1d ago,1d ago,2d ago,18d ago,8d ago,1d ago,25d ago,5d ago,2d ago,12d ago,13d ago,5d ago,3d ago,13d ago,1d ago,5d ago,18d ago,7d ago,9d ago
Business Intelligence Analyst - Auckland,Product Insights Analyst,Solution Architect (Application Architecture),Security Engineer,Enterprise Application Support Analyst,Junior Transportation Engineer,Senior Automation Tester - Selenium/Postman,Senior F5 Load Balancer / Security Engineer  - CONTRACT -  $100hr,Hydraulic Modeller,Solutions Architect - Esri,Senior Data Analyst - SAS,Junior Propulsion Engineer,Senior Analyst,IT Support Engineer,Graduate Hydrogeologist - Auckland,Network Engineer,Test Engineer - Quality and Product Verification,Senior Automation Test Engineer,Senior Automation Test Engineer,Senior Embedded / Automation Test Engineer
4d ago,3d ago,5d ago,17d ago,5d ago,19d ago,17d ago,16d ago,11d ago,20h ago,29d ago,3d ago,16d ago,24d ago,12d ago,25d ago,10d ago,24d ago,24d ago,24d ago
Research Scientist - Numerical Modeller,Senior Full Stack Developer,Senior Site Reliability Engineer,Senior Level Full Stack Software/Web Engineer,Senior Software Developer,Senior Data Analyst (DA),Senior Backend Developer to join growing SaaS company: Get in quick,Solution Engineer - Global Cloud Vendor,Full Stack Developer,Intermediate Software Developers,Full Stack Developer - Support team,Senior Agile Full Stack Developer,Integration Developer,Senior Test Automation Engineer,Employee Lifecycle and Automation Team Leader,Senior Software Developer,Senior Full-Stack Web Developer,GIS Specialist,Remote - High Paying Contract - C# Angular Software Developer,Embedded C/C++ Developer - Payments & Technology
24d ago,18d ago,25d ago,24d ago,25d ago,21d ago,18d ago,26d ago,24d ago,29d ago,24d ago,29d ago,19d ago,24d ago,22d ago,25d ago,30d ago,24d ago,24d ago,29d ago
Systems Engineer | Solutioning | Pega Practice,Senior Ruby Developer,Contract C++ Developer,Full-stack Developer - JavaScript,Integration Engineer (IT),Data Scientist - Coastal and Freshwater Group,Operations Engineer - Linux,Magento Full Stack Web Developer,Geospatial Developer,Full-Stack Developer (NZ Career Grant Scheme),Full Stack Software Developer,Lead Developer,Implementation Specialist,Back-End Developer,Intermediate Full Stack Developer,Senior & Mid-Level Analysts / Wellington / Permanent,Full Stack Developer,Senior Systems Engineer,Senior Backend Developer,Senior Infrastructure engineer
5d ago,21h ago,11d ago,2d ago,21h ago,29d ago,22d ago,3d ago,10d ago,17d ago,19d ago,17d ago,1d ago,19d ago,17d ago,4d ago,8d ago,12d ago,23d ago,10d ago
Data Analyst,Data Engineer,Senior Automation Engineer,Data Analyst DWBI,General Manager - Data Applications Engineering,Intermediate Insights Analyst,Developer,Linux System Engineer,Senior Ruby Developer,Senior Backend Developer,Data Lead/Architect,Senior Software Developer,Devops Engineer,JAVA Software Engineer - Integration,Senior Full Stack Developer,Senior Analyst Programmer,IE PAY-- Full Stack Developer,DevOps Engineer,Data Modeller - Senior Consultant - Kimball Expert | Auckland,Full Stack Developer
22d ago,16d ago,19d ago,22d ago,17d ago,16d ago,25d ago,22d ago,19d ago,24d ago,29d ago,22d ago,22d ago,19d ago,22d ago,23d ago,17d ago,29d ago,25d ago,29d ago
Programmer (Game Development),Database Engineer-Developer,Senior Data Analyst - Tauranga,RPA Developer,Senior Full Stack Developer - Tauranga Based,General Manager - Data Applications Engineering,Software Testing and Automation Lead,Cloud Engineer,.NET Software Engineer,Unix Systems Engineer,Lead Developer,Senior Analyst,Senior Automation Engineer,C++ Developer,Data Analyst - 12 month fixed term contract,IT Systems Developer,Full Stack Developer,Senior Software Developer - Embedded C++,Senior Messaging Consultant,PowerBuilder Developer
19d ago,16d ago,12d ago,17d ago,23d ago,17d ago,19d ago,11d ago,24d ago,17d ago,17d ago,12d ago,17d ago,17d ago,15d ago,12d ago,22d ago,24d ago,17d ago,19d ago
Intermediate  Developer- HAMILTON,Intermediate Software Developer - North Shore,Senior Developer (Christchurch-based role),Data and Platform Manager,MQ Specialist,Senior Back-End Developer,Quantitative analyst - Financial Markets,Intelligent Automation Consultant,Full-Stack Developer - Contract,Environmental Data Technician,Production Monitoring Developer,DevOps Specialist,Database Developer,Cloud and DevOps Engineer,Senior Developer,Senior Cloud Engineer,DevOps Technical Lead,Electrical Engineer -FPGA/Embedded,"Developer III - Data, Digital Transformation",Lead Mobile Software Engineer
5d ago,10d ago,5d ago,4d ago,12d ago,17d ago,26d ago,4d ago,23d ago,11d ago,9d ago,22d ago,5d ago,26d ago,10d ago,11d ago,9d ago,13d ago,15d ago,18d ago
Cloud Engineer,Cloud Support Engineer - Hamilton,Cloud Support Engineer - Hamilton,Principal Software Developer - Successful SaaS Co. - Salary $150k neg + benefits,Senior Ruby Developer,Enterprise Vault Engineer,Ruby Developers,Mechatronics Engineer - Autonomous Vehicle,Automation Software Tester,Automation Tester,Business Analyst,Cloud and Data Architecture Lead,Application Support Specialist,Automation Tester,Middleware Administrators,"Senior Java Developer and Technical Consultant (Java, AWS, CI/ CD)",Senior Front-End Developer,Senior Data Insights Analyst (SAS / SQL),Senior Business Intelligence Specialist,Automation Engineer
22d ago,29d ago,29d ago,24d ago,30d ago,30d ago,30d ago,8d ago,2d ago,4d ago,8d ago,22h ago,21h ago,9d ago,6d ago,5d ago,2d ago,17d ago,22h ago,23h ago
Technical Consultant,Business Intelligence Specialist,Data Cleanser,Analyst Market & Liquidity Risk,Senior Infrastructure Engineer,IT Support Specialist / Software Developer,Senior Systems Administrator,PHP Developer - Contract 3 months,Operations Centre Engineer,Solutions Architect,Senior Test Analyst,Snr Automation Test Engineer - (SOAP Web Services),Assistant Systems Developer,Technical Lead - Information Systems (fixed term),Business Intelligence Analyst,"Infrastructure Systems Engineer, NOC",Product Insights Analyst,Senior Infrastructure Engineer,Lead Data Analyst,Release Managers
9d ago,3d ago,17d ago,21h ago,17d ago,10d ago,5d ago,11d ago,15d ago,2d ago,1d ago,9d ago,3d ago,9d ago,11d ago,15d ago,2d ago,21d ago,12d ago,6d ago
Software Developer,Test Engineer,Backend Developer,"Technical Analyst, Data Analytics",Data Analyst,Cloud Engineer,Data Analytics Lead,Senior Software Developer - Microservices,Science Systems Architect,Developer - Big Data,Data Warehouse Consultant,Platform Engineer,Full Stack Web Developer,Senior Developer,Senior Full Stack Developer,Software Engineer (C#/C++),Software Engineering Team Lead,DevOps Developer,AI Specialist,Developer - Big Data
24d ago,3d ago,22d ago,29d ago,11d ago,24d ago,2d ago,15d ago,3d ago,5d ago,4d ago,26d ago,3d ago,10d ago,5d ago,1d ago,15d ago,24d ago,29d ago,5d ago
Senior Analyst/Modeller - SAS,Contract Data Analyst,Data System Analyst - Fixed Term,Development Chapter Lead,Developer,Software Support Analyst - Intrahealth,Junior/Intermediate C# Software Engineer,"Software Engineer (C, C++, Embedded)",Senior Developer,C# / C++ Developer,Software Developer,DevOps Engineer,Senior Developer,HPC Applications Support Specialist,Software Developer,Senior Business Analyst (Customer Data and Analytics) - Contract,Integration / Platform Engineer,Senior Developer,Head of Software Engineering - Regions,Full-Stack Engineer
2d ago,2d ago,2d ago,3d ago,9d ago,4d ago,4d ago,13d ago,23d ago,2d ago,23d ago,30d+ ago,5d ago,5d ago,23d ago,10d ago,3d ago,18d ago,15d ago,22d ago
Full Stack Developer,DevOps Engineer,Stress Testing & Risk Modelling Analyst,ERP Technical Consultant / Developer,Lead Automation Engineer,Senior Developer (Christchurch-based role),GIS Analyst,Software Engineer - Full Stack,Infrastructure Engineer,Veritas Systems Engineer (Enterprise Vault) - $120hr + GST,Cloud Engineer,Full Stack Developer,Developers - Ecosystem,Software Engineer - Team Lead,Software Developer and Consulting,Senior Ruby Developer,Software Engineer - Fuel Systems,Senior Developer - *Christchurch-based role*,Intermediate BACK END Developer,Senior Software Developers C++
17d ago,18d ago,3d ago,19d ago,16d ago,4d ago,23d ago,15d ago,16d ago,15d ago,10d ago,2d ago,2d ago,12d ago,5d ago,21h ago,4d ago,18d ago,19d ago,18d ago
Data Engineer - 12 month FTE,Software Engineering Manager,Intermediate Embedded Software Development Engineer,DevOps Engineer,Data Analyst,Senior Software Engineer,Senior DevOps Engineer,Senior Developer - Architect,Software Engineer - Team Lead,Senior AWS Engineer,Full Stack Developer,Backend Developer,DevOps Engineer,Site Reliability Engineer,Risk Analyst - Modelling,Senior Software Engineer,Senior Devops Engineer,Senior Full Stack Developer - AWS,Advanced Cloud Application Developer,Linux System Engineer
11d ago,8d ago,1d ago,5d ago,11d ago,26d ago,25d ago,2d ago,4d ago,22d ago,3d ago,18d ago,18d ago,16d ago,4d ago,13d ago,26d ago,2d ago,4d ago,10d ago
Software Developer,DevOps Engineer,HPC / Linux / Kubernetes Systems Engineer,Senior DevOps Engineer,Senior Software Engineer,DataOps Engineer,Senior Back End Developer,Lead DevOps Engineer,Full Stack Developer,Financial Trading Systems Application Support Engineer (Front Office),Senior Linux Engineer,Software Engineer,Software Engineer,Software Engineer,Senior Software Engineers,Software Team Lead - Health Informatics,Solution Engineer - Global Cloud Vendor,AppDynamics Engineer SME,DevOps Platform Engineer,Mobile Engineer
16d ago,19d ago,2d ago,15d ago,9d ago,18d ago,24d ago,24d ago,9d ago,13d ago,17d ago,28d ago,28d ago,27d ago,23d ago,5d ago,15d ago,16d ago,29d ago,2d ago
QA Engineer,Cloud Test Engineer,DevOps Engineer,DevOps Engineer,Lead Software Engineer,Software Engineer,Senior Embedded Flight Software Engineer,Devops Engineer,Data Software Engineer,Senior Back-End Developer,"Senior Java Developer and Technical Consultant (Java, Python, CI/ CD)",Senior DevOps Engineer,Software Support Analyst,Senior Developer (Dunedin-based role),Senior Devops Engineer,Software Engineer - Tester,3D Software Engineer - Intermediate,Senior Software Developer,Data System Analyst - Fixed Term,Senior Software Engineer (C++),Senior Software Engineer
2d ago,26d ago,19d ago,4d ago,25d ago,8d ago,23d ago,15d ago,2d ago,29d ago,8d ago,3d ago,2d ago,12d ago,15d ago,16d ago,9d ago,2d ago,17d ago,30d ago
Senior Full Stack Developer,Senior Developer C++,Advanced BI Senior Analyst/Scientist,Chief Analyst Programmer,IP Data Specialist,Data Analyst (Dunedin-based role),Embedded C Developer,Snr Automation Test Engineer - (API / SOAP),Software Developer (PHP),Ecosystem Support Engineer,Developer,Enterprise Vault Engineer (Veritas) - $110hr + GST,Analyst Programmer POS - FOODSTUFFS SI Christchurch,Senior Developer,Full Stack Developer,Software Engineer / Developer,Senior Developer - *Christchurch-based role*,Senior Full Stack Developer,Junior C++ Developer (QT / Multi-platform),Senior Data Analyst / Data Analyst
10d ago,13d ago,24d ago,9d ago,10d ago,15d ago,18d ago,11d ago,26d ago,15d ago,10d ago,16d ago,10d ago,8d ago,19d ago,26d ago,18d ago,16d ago,23d ago,16d ago
Senior Full Stack Developer,Java Developer,Computer Vision / Image Processing Engineer,Data Management Analyst,Senior Linux Engineer,Senior Cloud Developer,Software Developer,Risk Analytics Roles,Early-career fisheries scientist,Principal Engineer,Senior DevOps Engineer,Software Engineer (GO),Senior Developer,Intermediate/Senior Software Engineer,HITL Engineer,Software Engineer (C++/Go) Hamilton,Data Software Engineer,Senior Software Engineer,Devops Engineer,DevOps Engineer,Senior Software Engineer,Senior Software Engineer - Tech Lead
19d ago,5d ago,10d ago,1d ago,10d ago,10d ago,18d ago,16d ago,16d ago,17d ago,5d ago,15d ago,18d ago,3d ago,11d ago,15d ago,24d ago,18d ago,25d ago,11d ago
Design Engineer (Fixed Term Contract),Data Analyst,Technical Lead,Senior Network Engineer,Database Engineer-Developer,Cyber Security Analyst - CDOC Junior/Tier 1 Analyst,Geospatial Developer,Cloud Engineer- Azure,"Manager, Security Operations Center (SOC)",ICT trainer for a leading Technology Education Centre,Network Engineer,Business and Data Analyst,Security Operations Centre (SOC) Manager,Architecture and Engineering Chapter Lead,Senior Data Analyst (DI),"QA / Test Engineer - >$105, 000 Base + Benefits",Mechatronics Engineer - Senior,Systems Integration and Test Engineer,Senior Developer / Technical Lead,"Senior Microsoft BI Consultant - NZ$150,000"
18d ago,18d ago,11d ago,22d ago,16d ago,18d ago,10d ago,23d ago,15d ago,17d ago,26d ago,17d ago,22d ago,9d ago,21d ago,29d ago,16d ago,19d ago,25d ago,25d ago
SOC Security Engineer,Data Analyst - Brisbane,Quality Analyst,Network Engineer - Contract,Senior Technology Architect,Data Warehouse Developer,Martech Developer,Systems Engineer,Junior to Intermediate Java Developer,Embedded Software Engineer,Full Stack Web Developer,Senior Test Engineer - API/Integration,Solutions Architect,Graduate Software Developer,Data/Solution Architect.,Computational Designer,Power System Design and Integration Engineer (HWEE),"QA / Test Engineer - >$105, 000 Base + Benefits","Snr Microsoft BI Consultant - $150,000 + Bonus",Digital Specialist - Visualisation
15d ago,26d ago,10d ago,26d ago,9d ago,25d ago,17d ago,8d ago,26d ago,11d ago,17d ago,29d ago,25d ago,16d ago,23d ago,29d ago,12d ago,23d ago,15d ago,10d ago
DevOps Developer,"Software Engineer, Flight Test",Data Engineer,Data Engineer,Data Engineer,Senior Software Engineer-TAURANGA,Back End Engineer (C++ / Python),Senior Software Engineer-TAURANGA,Senior Software Engineer,Senior Data Scientist - Machine Learning,Senior Software Engineer-TAURANGA,Data Engineer,Data Engineer,Principal Data Warehouse Engineer,"Software Engineer, Flight Test",Hydrology / Water Data Scientist,Senior Software Engineer,Data Access Co-ordinator,Intermediate Software Engineer - Python,Engineer - Data Reliability,Data Scientist,Senior Software Developer
8d ago,8d ago,4d ago,1d ago,17d ago,1d ago,1d ago,4d ago,1d ago,17d ago,4d ago,5d ago,7d ago,3d ago,3d ago,21h ago,26d ago,3d ago,23d ago,5d ago
Senior Technical Engineer /Consultant Auckland,Java Developer,Principal Engineer - SRE,DevOps Engineer,Full Stack Software Developer,Data Scientists and a Senior Data Scientists,Senior Backend Developer,DevOps Engineer,Snr DevOps Engineer,Integration / Platform Engineer,Senior Data Engineer,Senior Software Engineer,Data engineer,Intermediate DevOps Engineer,Software Consultant,Senior Data Engineer,Full Stack Software Developer,Platform Engineer - Continuous Delivery/DevOps,Senior Software Development Engineer in Test / Automation Engineer,GNC Software Engineer - Space Systems,DevOps Engineer,Firmware/Embedded Engineer - $80k neg
22h ago,7d ago,2d ago,8d ago,22d ago,11d ago,4d ago,10d ago,15d ago,10d ago,23d ago,5d ago,12d ago,19d ago,3d ago,22d ago,10d ago,19d ago,15d ago,9d ago
Senior Developer,React Developer,Intermediate Software Engineer (JR172),Java Software Developer,Senior Software Engineer,Data Engineer,Principal Data Warehouse Engineer,DevOps Engineer,Data Engineer,Software Engineer - Delphi or C++ Developer,Data Engineer,GNC Intern,Developer Programmer (261312),Snr DevOps Engineer,Senior Software Engineer,Application Software Developer,Data Science Visualisation and Interface Developer,Junior .NET ETL Engineer (Data Specialist),Senior Developer,Blockchain Engineer / Developer x 2,Intermediate Backend Developer,Data Scientist/Senior Data Scientist
9d ago,5d ago,26d ago,20d ago,5d ago,10d ago,26d ago,2d ago,17d ago,16d ago,5d ago,4d ago,12d ago,22d ago,24d ago,15d ago,9d ago,4d ago,2d ago,26d ago
Senior Backend Developer to join growing SaaS company: Get in quick,Environmental Products Engineer,Linux Platform Engineer,Backend Software Engineers (Junior to Intermediate),SRE (Site Reliability Engineer),Data Engineer - SQL Developer - contract or permanent,Data Analyst - Digital,Enthusiastic Intermediate backend developer,Software Test Engineer,Senior Software Developer,GNC Software Engineer - Launch Systems,Senior Software Engineer,Data Engineer,Software Engineer,Build and Deployment Engineer,Software Developer (Remote),"DevOps Engineer - AWS, CI/CD",DevOps Engineer â€“ Lending Engineering,Senior Linux Engineer,Senior Software Engineer - ML Products,Software Engineering Director,Senior DevOps Engineer
15d ago,12d ago,4d ago,11d ago,15d ago,5d ago,4d ago,2d ago,19d ago,12d ago,27d ago,5d ago,2d ago,11d ago,18d ago,10d ago,8d ago,19d ago,10d ago,12d ago
Software Engineer/Developer,Senior Developer/Technical Consultant,Intermediate Data Scientist's,Intermediate DevOps Engineer,DevOps Engineer,Data Engineer - Contract,Senior Software Engineer,Senior Software Engineer/ Advanced Technology / $150k neg,DevOps Engineer,Senior Data Engineer,Senior Data Scientist,Data Scientist,Senior Software Engineer - PHP,Senior Software Engineer - Python,Software Engineer/Developer,Data Engineer.,Data Engineer,Data Scientists and a Senior Data Scientists,Research Leader - Data Analytics,Senior Data Scientist - Christchurch based,Senior Software Engineer,Senior Software Engineers
23d ago,1d ago,1d ago,11d ago,5d ago,3d ago,3d ago,11d ago,12d ago,24d ago,12d ago,26d ago,10d ago,24d ago,7d ago,8d ago,11d ago,12d ago,12d ago,2d ago
